State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Unnamed: 6,Unnamed: 7
Uttar Pradesh,13. Banda,2009 - 2010,"141,321.00","236,833.00",1.68,,
Uttar Pradesh,13. Banda,2010 - 2011,"145,680.00","264,359.00",1.81,,
Uttar Pradesh,13. Banda,2011 - 2012,"151,114.00","315,099.00",2.09,,
Uttar Pradesh,13. Banda,2012 - 2013,"153,753.00","343,012.00",2.23,,
Uttar Pradesh,13. Banda,2013 - 2014,"164,065.00","311,815.00",1.9,,
Uttar Pradesh,13. Banda,2014 - 2015,"151,692.00","137,988.00",0.91,,
Uttar Pradesh,13. Banda,2015 - 2016,"22,873.00","27,447.00",1.2,,
Uttar Pradesh,13. Banda,2016 - 2017,"197,157.00","462,309.00",2.34,,
Uttar Pradesh,13. Banda,2017 - 2018,"158,943.00","363,699.00",2.29,,
Uttar Pradesh,13. Banda,2018 - 2019,"159,768.00","489,299.00",3.06,,
Uttar Pradesh,13. Banda,2019 - 2020,"161,834.00","461,299.00",2.85,,
Uttar Pradesh,13. Banda,2020 - 2021,"161,837.00","454,302.00",2.81,,
Uttar Pradesh,13. Banda,2021 - 2022,"167,353.00","505,406.00",3.02,,
Uttar Pradesh,13. Banda,2022 - 2023,"193,742.00","635,086.00",3.28,,
Uttar Pradesh,14. Barabanki,1997 - 1998,"127,222.00","295,110.00",2.32,,
Uttar Pradesh,14. Barabanki,1998 - 1999,"134,786.00","337,949.00",2.51,,
Uttar Pradesh,14. Barabanki,1999 - 2000,"136,351.00","364,669.00",2.67,,
Uttar Pradesh,14. Barabanki,2000 - 2001,"132,723.00","373,586.00",2.81,,
Uttar Pradesh,14. Barabanki,2001 - 2002,"132,494.00","389,155.00",2.94,,
Uttar Pradesh,14. Barabanki,2002 - 2003,"137,328.00","379,036.00",2.76,,
Uttar Pradesh,14. Barabanki,2003 - 2004,"160,752.00","486,977.00",3.03,,
Uttar Pradesh,14. Barabanki,2004 - 2005,"163,857.00","431,724.00",2.63,,
Uttar Pradesh,14. Barabanki,2005 - 2006,"162,040.00","470,888.00",2.91,,
Uttar Pradesh,14. Barabanki,2006 - 2007,"165,876.00","490,329.00",2.96,,
Uttar Pradesh,14. Barabanki,2007 - 2008,"165,848.00","482,120.00",2.91,,
Uttar Pradesh,14. Barabanki,2008 - 2009,"153,165.00","470,829.00",3.07,,
Uttar Pradesh,14. Barabanki,2009 - 2010,"159,451.00","490,950.00",3.08,,
Uttar Pradesh,14. Barabanki,2010 - 2011,"167,409.00","544,396.00",3.25,,
Uttar Pradesh,14. Barabanki,2011 - 2012,"161,038.00","565,243.00",3.51,,
Uttar Pradesh,14. Barabanki,2012 - 2013,"162,341.00","603,259.00",3.72,,
Uttar Pradesh,14. Barabanki,2013 - 2014,"166,533.00","590,693.00",3.55,,
Uttar Pradesh,14. Barabanki,2014 - 2015,"165,449.00","392,114.00",2.37,,
Uttar Pradesh,14. Barabanki,2015 - 2016,"167,622.00","498,340.00",2.97,,
Uttar Pradesh,14. Barabanki,2016 - 2017,"166,970.00","606,936.00",3.64,,
Uttar Pradesh,14. Barabanki,2017 - 2018,"168,346.00","677,088.00",4.02,,
Uttar Pradesh,14. Barabanki,2018 - 2019,"162,367.00","641,351.00",3.95,,
Uttar Pradesh,14. Barabanki,2019 - 2020,"166,367.00","672,289.00",4.04,,
Uttar Pradesh,14. Barabanki,2020 - 2021,"166,827.00","722,528.00",4.33,,
Uttar Pradesh,14. Barabanki,2021 - 2022,"173,546.00","701,473.00",4.04,,
Uttar Pradesh,14. Barabanki,2022 - 2023,"165,972.00","629,698.00",3.79,,
Uttar Pradesh,15. Bareilly,1997 - 1998,"182,990.00","450,186.00",2.46,,
Uttar Pradesh,15. Bareilly,1998 - 1999,"193,339.00","501,838.00",2.6,,
Uttar Pradesh,15. Bareilly,1999 - 2000,"187,383.00","520,856.00",2.78,,
Uttar Pradesh,15. Bareilly,2000 - 2001,"190,452.00","512,384.00",2.69,,
Uttar Pradesh,15. Bareilly,2001 - 2002,"183,317.00","499,169.00",2.72,,
Uttar Pradesh,15. Bareilly,2002 - 2003,"180,188.00","476,134.00",2.64,,
Uttar Pradesh,15. Bareilly,2003 - 2004,"200,112.00","552,847.00",2.76,,
Uttar Pradesh,15. Bareilly,2004 - 2005,"208,765.00","512,651.00",2.46,,
Uttar Pradesh,15. Bareilly,2005 - 2006,"178,723.00","453,063.00",2.54,,
Uttar Pradesh,15. Bareilly,2006 - 2007,"196,808.00","560,903.00",2.85,,
Uttar Pradesh,15. Bareilly,2007 - 2008,"194,880.00","550,146.00",2.82,,
Uttar Pradesh,15. Bareilly,2008 - 2009,"191,256.00","571,090.00",2.99,,
Uttar Pradesh,15. Bareilly,2009 - 2010,"217,227.00","607,149.00",2.79,,
Uttar Pradesh,15. Bareilly,2010 - 2011,"204,691.00","596,470.00",2.91,,
Uttar Pradesh,15. Bareilly,2011 - 2012,"199,705.00","649,640.00",3.25,,
Uttar Pradesh,15. Bareilly,2012 - 2013,"200,363.00","615,114.00",3.07,,
Uttar Pradesh,15. Bareilly,2013 - 2014,"200,048.00","630,351.00",3.15,,
Uttar Pradesh,15. Bareilly,2014 - 2015,"212,598.00","395,007.00",1.86,,
Uttar Pradesh,15. Bareilly,2015 - 2016,"209,611.00","614,160.00",2.93,,
Uttar Pradesh,15. Bareilly,2016 - 2017,"214,079.00","782,673.00",3.66,,
Uttar Pradesh,15. Bareilly,2017 - 2018,"195,118.00","716,278.00",3.67,,
Uttar Pradesh,15. Bareilly,2018 - 2019,"198,541.00","776,097.00",3.91,,
Uttar Pradesh,15. Bareilly,2019 - 2020,"199,331.00","629,487.00",3.16,,
Uttar Pradesh,15. Bareilly,2020 - 2021,"200,048.00","773,586.00",3.87,,
Uttar Pradesh,15. Bareilly,2021 - 2022,"208,130.00","812,956.00",3.91,,
Uttar Pradesh,15. Bareilly,2022 - 2023,"207,246.00","844,527.00",4.07,,
Uttar Pradesh,16. Basti,1997 - 1998,"108,890.00","264,588.00",2.43,,
Uttar Pradesh,16. Basti,1998 - 1999,"111,471.00","251,920.00",2.26,,
Uttar Pradesh,16. Basti,1999 - 2000,"111,566.00","300,100.00",2.69,,
Uttar Pradesh,16. Basti,2000 - 2001,"111,726.00","283,619.00",2.54,,
Uttar Pradesh,16. Basti,2001 - 2002,"114,281.00","274,123.00",2.4,,
Uttar Pradesh,16. Basti,2002 - 2003,"113,884.00","236,249.00",2.07,,
Uttar Pradesh,16. Basti,2003 - 2004,"113,999.00","269,940.00",2.37,,
Uttar Pradesh,16. Basti,2004 - 2005,"113,947.00","267,202.00",2.34,,
Uttar Pradesh,16. Basti,2005 - 2006,"101,462.00","232,348.00",2.29,,
Uttar Pradesh,16. Basti,2006 - 2007,"114,347.00","270,888.00",2.37,,
Uttar Pradesh,16. Basti,2007 - 2008,"91,668.00","221,837.00",2.42,,
Uttar Pradesh,16. Basti,2008 - 2009,"112,152.00","311,446.00",2.78,,
Uttar Pradesh,16. Basti,2009 - 2010,"114,943.00","282,990.00",2.46,,
Uttar Pradesh,16. Basti,2010 - 2011,"115,598.00","319,744.00",2.77,,
Uttar Pradesh,16. Basti,2011 - 2012,"116,212.00","365,952.00",3.15,,
Uttar Pradesh,16. Basti,2012 - 2013,"119,061.00","346,825.00",2.91,,
Uttar Pradesh,16. Basti,2013 - 2014,"119,033.00","383,048.00",3.22,,
Uttar Pradesh,16. Basti,2014 - 2015,"119,630.00","253,855.00",2.12,,
Uttar Pradesh,16. Basti,2015 - 2016,"113,071.00","295,681.00",2.62,,
Uttar Pradesh,16. Basti,2016 - 2017,"119,425.00","379,652.00",3.18,,
Uttar Pradesh,16. Basti,2017 - 2018,"119,616.00","471,766.00",3.94,,
Uttar Pradesh,16. Basti,2018 - 2019,"119,476.00","449,349.00",3.76,,
Uttar Pradesh,16. Basti,2019 - 2020,"120,160.00","369,252.00",3.07,,
Uttar Pradesh,16. Basti,2020 - 2021,"119,730.00","425,880.00",3.56,,
Uttar Pradesh,16. Basti,2021 - 2022,"124,347.00","452,374.00",3.64,,
Uttar Pradesh,16. Basti,2022 - 2023,"141,055.00","482,549.00",3.42,,
Uttar Pradesh,17. Bijnor,1997 - 1998,"114,073.00","310,899.00",2.73,,
Uttar Pradesh,17. Bijnor,1998 - 1999,"114,195.00","290,315.00",2.54,,
Uttar Pradesh,17. Bijnor,1999 - 2000,"113,036.00","324,302.00",2.87,,
Uttar Pradesh,17. Bijnor,2000 - 2001,"115,900.00","308,876.00",2.67,,
Uttar Pradesh,17. Bijnor,2001 - 2002,"108,590.00","320,197.00",2.95,,
Uttar Pradesh,17. Bijnor,2002 - 2003,"106,237.00","290,870.00",2.74,,
Uttar Pradesh,17. Bijnor,2003 - 2004,"114,543.00","316,007.00",2.76,,
Uttar Pradesh,17. Bijnor,2004 - 2005,"111,552.00","297,126.00",2.66,,
Uttar Pradesh,17. Bijnor,2005 - 2006,"105,186.00","287,999.00",2.74,,
Uttar Pradesh,17. Bijnor,2006 - 2007,"112,729.00","332,889.00",2.95,,
Uttar Pradesh,17. Bijnor,2007 - 2008,"108,774.00","318,164.00",2.93,,
Uttar Pradesh,17. Bijnor,2008 - 2009,"110,826.00","331,036.00",2.99,,
Uttar Pradesh,17. Bijnor,2009 - 2010,"106,194.00","303,821.00",2.86,,
Uttar Pradesh,17. Bijnor,2010 - 2011,"111,940.00","341,193.00",3.05,,
Uttar Pradesh,17. Bijnor,2011 - 2012,"109,325.00","350,059.00",3.2,,
Uttar Pradesh,17. Bijnor,2012 - 2013,"103,369.00","330,057.00",3.19,,
Uttar Pradesh,17. Bijnor,2013 - 2014,"147,955.00","488,843.00",3.3,,
Uttar Pradesh,17. Bijnor,2014 - 2015,"116,552.00","315,040.00",2.7,,
Uttar Pradesh,17. Bijnor,2015 - 2016,"99,699.00","309,067.00",3.1,,
Uttar Pradesh,17. Bijnor,2016 - 2017,"148,013.00","511,681.00",3.46,,
Uttar Pradesh,17. Bijnor,2017 - 2018,"157,273.00","569,328.00",3.62,,
Uttar Pradesh,17. Bijnor,2018 - 2019,"148,627.00","557,500.00",3.75,,
Uttar Pradesh,17. Bijnor,2019 - 2020,"145,884.00","510,448.00",3.5,,
Uttar Pradesh,17. Bijnor,2020 - 2021,"155,416.00","591,669.00",3.81,,
Uttar Pradesh,17. Bijnor,2021 - 2022,"160,351.00","601,797.00",3.75,,
Uttar Pradesh,17. Bijnor,2022 - 2023,"152,517.00","577,887.00",3.79,,
Uttar Pradesh,18. Budaun,1997 - 1998,"268,465.00","721,587.00",2.69,,
Uttar Pradesh,18. Budaun,1998 - 1999,"281,397.00","811,227.00",2.88,,
Uttar Pradesh,18. Budaun,1999 - 2000,"283,537.00","830,389.00",2.93,,
Uttar Pradesh,18. Budaun,2000 - 2001,"295,959.00","902,906.00",3.05,,
Uttar Pradesh,18. Budaun,2001 - 2002,"291,734.00","873,953.00",3.0,,
Uttar Pradesh,18. Budaun,2002 - 2003,"285,781.00","772,859.00",2.7,,
Uttar Pradesh,18. Budaun,2003 - 2004,"300,151.00","882,748.00",2.94,,
Uttar Pradesh,18. Budaun,2004 - 2005,"300,947.00","751,553.00",2.5,,
Uttar Pradesh,18. Budaun,2005 - 2006,"288,649.00","784,259.00",2.72,,
Uttar Pradesh,18. Budaun,2006 - 2007,"283,638.00","848,361.00",2.99,,
Uttar Pradesh,18. Budaun,2007 - 2008,"293,775.00","837,259.00",2.85,,
Uttar Pradesh,18. Budaun,2008 - 2009,"273,380.00","873,996.00",3.2,,
Uttar Pradesh,18. Budaun,2009 - 2010,"311,520.00","1,080,351.00",3.47,,
Uttar Pradesh,18. Budaun,2010 - 2011,"306,477.00","1,040,796.00",3.4,,
Uttar Pradesh,18. Budaun,2011 - 2012,"293,435.00","1,017,926.00",3.47,,
Uttar Pradesh,18. Budaun,2012 - 2013,"230,265.00","765,401.00",3.32,,
Uttar Pradesh,18. Budaun,2013 - 2014,"245,390.00","894,447.00",3.65,,
Uttar Pradesh,18. Budaun,2014 - 2015,"255,586.00","538,009.00",2.11,,
Uttar Pradesh,18. Budaun,2015 - 2016,"251,324.00","711,498.00",2.83,,
Uttar Pradesh,18. Budaun,2016 - 2017,"233,621.00","819,776.00",3.51,,
Uttar Pradesh,18. Budaun,2017 - 2018,"222,879.00","822,869.00",3.69,,
Uttar Pradesh,18. Budaun,2018 - 2019,"226,358.00","880,759.00",3.89,,
Uttar Pradesh,18. Budaun,2019 - 2020,"250,941.00","1,023,839.00",4.08,,
Uttar Pradesh,18. Budaun,2020 - 2021,"232,327.00","907,237.00",3.91,,
Uttar Pradesh,18. Budaun,2021 - 2022,"241,713.00","939,297.00",3.89,,
Uttar Pradesh,18. Budaun,2022 - 2023,"215,342.00","912,619.00",4.24,,
Uttar Pradesh,19. Bulandshahr,1997 - 1998,"170,933.00","610,783.00",3.57,,
Uttar Pradesh,19. Bulandshahr,1998 - 1999,"171,976.00","625,440.00",3.64,,
Uttar Pradesh,19. Bulandshahr,1999 - 2000,"176,610.00","670,049.00",3.79,,
Uttar Pradesh,19. Bulandshahr,2000 - 2001,"181,942.00","688,890.00",3.79,,
Uttar Pradesh,19. Bulandshahr,2001 - 2002,"174,703.00","675,234.00",3.87,,
Uttar Pradesh,19. Bulandshahr,2002 - 2003,"180,736.00","714,495.00",3.95,,
Uttar Pradesh,19. Bulandshahr,2003 - 2004,"186,200.00","662,853.00",3.56,,
Uttar Pradesh,19. Bulandshahr,2004 - 2005,"190,278.00","655,038.00",3.44,,
Uttar Pradesh,19. Bulandshahr,2005 - 2006,"190,249.00","635,051.00",3.34,,
Uttar Pradesh,19. Bulandshahr,2006 - 2007,"178,444.00","672,912.00",3.77,,
Uttar Pradesh,19. Bulandshahr,2007 - 2008,"193,808.00","692,088.00",3.57,,
Uttar Pradesh,19. Bulandshahr,2008 - 2009,"196,585.00","777,887.00",3.96,,
Uttar Pradesh,19. Bulandshahr,2009 - 2010,"195,439.00","725,079.00",3.71,,
Uttar Pradesh,19. Bulandshahr,2010 - 2011,"192,422.00","759,490.00",3.95,,
Uttar Pradesh,19. Bulandshahr,2011 - 2012,"197,682.00","833,427.00",4.22,,
Uttar Pradesh,19. Bulandshahr,2012 - 2013,"193,944.00","781,594.00",4.03,,
Uttar Pradesh,19. Bulandshahr,2013 - 2014,"191,272.00","788,232.00",4.12,,
Uttar Pradesh,19. Bulandshahr,2014 - 2015,"195,559.00","534,072.00",2.73,,
Uttar Pradesh,19. Bulandshahr,2015 - 2016,"197,838.00","765,040.00",3.87,,
Uttar Pradesh,19. Bulandshahr,2016 - 2017,"195,357.00","834,370.00",4.27,,
Uttar Pradesh,19. Bulandshahr,2017 - 2018,"191,410.00","869,193.00",4.54,,
Uttar Pradesh,19. Bulandshahr,2018 - 2019,"201,066.00","910,427.00",4.53,,
Uttar Pradesh,19. Bulandshahr,2019 - 2020,"192,762.00","843,719.00",4.38,,
Uttar Pradesh,19. Bulandshahr,2020 - 2021,"194,116.00","854,887.00",4.4,,
Uttar Pradesh,19. Bulandshahr,2021 - 2022,"201,958.00","896,088.00",4.44,,
Uttar Pradesh,19. Bulandshahr,2022 - 2023,"195,453.00","837,712.00",4.29,,
Uttar Pradesh,20. Chandauli,1997 - 1998,"88,884.00","173,762.00",1.95,,
Uttar Pradesh,20. Chandauli,1998 - 1999,"90,866.00","193,864.00",2.13,,
Uttar Pradesh,20. Chandauli,1999 - 2000,"89,290.00","197,005.00",2.21,,
Uttar Pradesh,20. Chandauli,2000 - 2001,"90,144.00","180,098.00",2.0,,
Uttar Pradesh,20. Chandauli,2001 - 2002,"85,526.00","171,414.00",2.0,,
Uttar Pradesh,20. Chandauli,2002 - 2003,"93,491.00","135,281.00",1.45,,
Uttar Pradesh,20. Chandauli,2003 - 2004,"94,005.00","190,076.00",2.02,,
Uttar Pradesh,20. Chandauli,2004 - 2005,"92,417.00","123,189.00",1.33,,
Uttar Pradesh,20. Chandauli,2005 - 2006,"94,309.00","163,179.00",1.73,,
Uttar Pradesh,20. Chandauli,2006 - 2007,"90,871.00","205,616.00",2.26,,
Uttar Pradesh,20. Chandauli,2007 - 2008,"93,371.00","210,889.00",2.26,,
Uttar Pradesh,20. Chandauli,2008 - 2009,"102,060.00","237,289.00",2.32,,
Uttar Pradesh,20. Chandauli,2009 - 2010,"97,225.00","201,256.00",2.07,,
Uttar Pradesh,20. Chandauli,2010 - 2011,"95,572.00","242,996.00",2.54,,
Uttar Pradesh,20. Chandauli,2011 - 2012,"92,874.00","236,179.00",2.54,,
Uttar Pradesh,20. Chandauli,2012 - 2013,"101,444.00","303,318.00",2.99,,
Uttar Pradesh,20. Chandauli,2013 - 2014,"102,339.00","268,640.00",2.63,,
Uttar Pradesh,20. Chandauli,2014 - 2015,"95,462.00","140,204.00",1.47,,
Uttar Pradesh,20. Chandauli,2015 - 2016,"97,645.00","187,312.00",1.92,,
Uttar Pradesh,20. Chandauli,2016 - 2017,"98,193.00","282,313.00",2.88,,
Uttar Pradesh,20. Chandauli,2017 - 2018,"111,873.00","376,676.00",3.37,,
Uttar Pradesh,20. Chandauli,2018 - 2019,"101,842.00","381,704.00",3.75,,
Uttar Pradesh,20. Chandauli,2019 - 2020,"100,039.00","340,833.00",3.41,,
Uttar Pradesh,20. Chandauli,2020 - 2021,"99,917.00","363,998.00",3.64,,
Uttar Pradesh,20. Chandauli,2021 - 2022,"105,445.00","371,483.00",3.52,,
Uttar Pradesh,20. Chandauli,2022 - 2023,"114,959.00","365,340.00",3.18,,
Uttar Pradesh,21. Chitrakoot,1997 - 1998,"48,096.00","78,820.00",1.64,,
Uttar Pradesh,21. Chitrakoot,1998 - 1999,"50,445.00","95,489.00",1.89,,
Uttar Pradesh,21. Chitrakoot,1999 - 2000,"50,387.00","98,278.00",1.95,,
Uttar Pradesh,21. Chitrakoot,2000 - 2001,"51,700.00","80,421.00",1.56,,
Uttar Pradesh,21. Chitrakoot,2001 - 2002,"53,575.00","111,241.00",2.08,,
Uttar Pradesh,21. Chitrakoot,2002 - 2003,"56,890.00","125,996.00",2.21,,
Uttar Pradesh,21. Chitrakoot,2003 - 2004,"56,834.00","128,539.00",2.26,,
Uttar Pradesh,21. Chitrakoot,2004 - 2005,"52,365.00","86,467.00",1.65,,
Uttar Pradesh,21. Chitrakoot,2005 - 2006,"56,020.00","85,368.00",1.52,,
Uttar Pradesh,21. Chitrakoot,2006 - 2007,"52,023.00","65,182.00",1.25,,
Uttar Pradesh,21. Chitrakoot,2007 - 2008,"43,151.00","51,049.00",1.18,,
Uttar Pradesh,21. Chitrakoot,2008 - 2009,"49,309.00","84,567.00",1.72,,
Uttar Pradesh,21. Chitrakoot,2009 - 2010,"51,978.00","97,688.00",1.88,,
Uttar Pradesh,21. Chitrakoot,2010 - 2011,"48,407.00","86,336.00",1.78,,
Uttar Pradesh,21. Chitrakoot,2011 - 2012,"48,561.00","121,581.00",2.5,,
Uttar Pradesh,21. Chitrakoot,2012 - 2013,"54,253.00","130,500.00",2.41,,
Uttar Pradesh,21. Chitrakoot,2013 - 2014,"52,387.00","102,460.00",1.96,,
Uttar Pradesh,21. Chitrakoot,2014 - 2015,"54,500.00","60,877.00",1.12,,
Uttar Pradesh,21. Chitrakoot,2015 - 2016,"59,917.00","71,499.00",1.19,,
Uttar Pradesh,21. Chitrakoot,2016 - 2017,"49,779.00","154,137.00",3.1,,
Uttar Pradesh,21. Chitrakoot,2017 - 2018,"49,779.00","131,412.00",2.64,,
Uttar Pradesh,21. Chitrakoot,2018 - 2019,"49,808.00","135,073.00",2.71,,
Uttar Pradesh,21. Chitrakoot,2019 - 2020,"53,793.00","142,714.00",2.65,,
Uttar Pradesh,21. Chitrakoot,2020 - 2021,"49,779.00","164,687.00",3.31,,
Uttar Pradesh,21. Chitrakoot,2021 - 2022,"50,750.00","161,842.00",3.19,,
Uttar Pradesh,21. Chitrakoot,2022 - 2023,"79,992.00","251,175.00",3.14,,
Uttar Pradesh,22. Deoria,1997 - 1998,"130,934.00","301,647.00",2.3,,
Uttar Pradesh,22. Deoria,1998 - 1999,"137,653.00","326,272.00",2.37,,
Uttar Pradesh,22. Deoria,1999 - 2000,"134,676.00","359,141.00",2.67,,
Uttar Pradesh,22. Deoria,2000 - 2001,"139,398.00","387,008.00",2.78,,
Uttar Pradesh,22. Deoria,2001 - 2002,"142,765.00","374,727.00",2.62,,
Uttar Pradesh,22. Deoria,2002 - 2003,"141,432.00","307,774.00",2.18,,
Uttar Pradesh,22. Deoria,2003 - 2004,"147,656.00","378,573.00",2.56,,
Uttar Pradesh,22. Deoria,2004 - 2005,"147,932.00","350,355.00",2.37,,
Uttar Pradesh,22. Deoria,2005 - 2006,"151,399.00","330,807.00",2.19,,
Uttar Pradesh,22. Deoria,2006 - 2007,"126,116.00","316,501.00",2.51,,
Uttar Pradesh,22. Deoria,2007 - 2008,"146,212.00","402,668.00",2.75,,
Uttar Pradesh,22. Deoria,2008 - 2009,"152,129.00","413,334.00",2.72,,
Uttar Pradesh,22. Deoria,2009 - 2010,"147,477.00","374,592.00",2.54,,
Uttar Pradesh,22. Deoria,2010 - 2011,"148,681.00","440,839.00",2.96,,
Uttar Pradesh,22. Deoria,2011 - 2012,"148,224.00","456,975.00",3.08,,
Uttar Pradesh,22. Deoria,2012 - 2013,"155,756.00","483,934.00",3.11,,
Uttar Pradesh,22. Deoria,2013 - 2014,"156,285.00","472,628.00",3.02,,
Uttar Pradesh,22. Deoria,2014 - 2015,"155,105.00","291,133.00",1.88,,
Uttar Pradesh,22. Deoria,2015 - 2016,"156,721.00","398,853.00",2.54,,
Uttar Pradesh,22. Deoria,2016 - 2017,"152,148.00","508,783.00",3.34,,
Uttar Pradesh,22. Deoria,2017 - 2018,"153,401.00","482,139.00",3.14,,
Uttar Pradesh,22. Deoria,2018 - 2019,"152,006.00","505,572.00",3.33,,
Uttar Pradesh,22. Deoria,2019 - 2020,"153,059.00","513,972.00",3.36,,
Uttar Pradesh,22. Deoria,2020 - 2021,"153,125.00","533,028.00",3.48,,
Uttar Pradesh,22. Deoria,2021 - 2022,"159,816.00","534,585.00",3.35,,
Uttar Pradesh,22. Deoria,2022 - 2023,"172,605.00","636,049.00",3.68,,
Uttar Pradesh,23. Etah,1997 - 1998,"194,802.00","574,644.00",2.95,,
Uttar Pradesh,23. Etah,1998 - 1999,"189,559.00","527,475.00",2.78,,
Uttar Pradesh,23. Etah,1999 - 2000,"200,249.00","597,906.00",2.99,,
Uttar Pradesh,23. Etah,2000 - 2001,"194,161.00","629,715.00",3.24,,
Uttar Pradesh,23. Etah,2001 - 2002,"217,924.00","645,729.00",2.96,,
Uttar Pradesh,23. Etah,2002 - 2003,"214,649.00","594,321.00",2.77,,
Uttar Pradesh,23. Etah,2003 - 2004,"217,830.00","676,277.00",3.1,,
Uttar Pradesh,23. Etah,2004 - 2005,"223,926.00","564,185.00",2.52,,
Uttar Pradesh,23. Etah,2005 - 2006,"206,806.00","571,819.00",2.77,,
Uttar Pradesh,23. Etah,2006 - 2007,"227,576.00","644,495.00",2.83,,
Uttar Pradesh,23. Etah,2007 - 2008,"222,498.00","625,664.00",2.81,,
Uttar Pradesh,23. Etah,2008 - 2009,"228,431.00","734,406.00",3.22,,
Uttar Pradesh,23. Etah,2009 - 2010,"135,064.00","410,189.00",3.04,,
Uttar Pradesh,23. Etah,2010 - 2011,"136,560.00","442,318.00",3.24,,
Uttar Pradesh,23. Etah,2011 - 2012,"135,549.00","475,641.00",3.51,,
Uttar Pradesh,23. Etah,2012 - 2013,"136,461.00","462,193.00",3.39,,
Uttar Pradesh,23. Etah,2013 - 2014,"134,108.00","484,935.00",3.62,,
Uttar Pradesh,23. Etah,2014 - 2015,"133,604.00","264,536.00",1.98,,
Uttar Pradesh,23. Etah,2015 - 2016,"134,326.00","389,680.00",2.9,,
Uttar Pradesh,23. Etah,2016 - 2017,"134,940.00","523,702.00",3.88,,
Uttar Pradesh,23. Etah,2017 - 2018,"135,296.00","528,872.00",3.91,,
Uttar Pradesh,23. Etah,2018 - 2019,"135,884.00","522,202.00",3.84,,
Uttar Pradesh,23. Etah,2019 - 2020,"136,510.00","566,653.00",4.15,,
Uttar Pradesh,23. Etah,2020 - 2021,"137,493.00","567,296.00",4.13,,
Uttar Pradesh,23. Etah,2021 - 2022,"140,723.00","547,412.00",3.89,,
Uttar Pradesh,23. Etah,2022 - 2023,"135,849.00","562,279.00",4.14,,
Uttar Pradesh,24. Etawah,1997 - 1998,"81,044.00","193,022.00",2.38,,
Uttar Pradesh,24. Etawah,1998 - 1999,"81,639.00","258,737.00",3.17,,
Uttar Pradesh,24. Etawah,1999 - 2000,"84,513.00","261,279.00",3.09,,
Uttar Pradesh,24. Etawah,2000 - 2001,"87,411.00","239,666.00",2.74,,
Uttar Pradesh,24. Etawah,2001 - 2002,"87,152.00","259,933.00",2.98,,
Uttar Pradesh,24. Etawah,2002 - 2003,"85,848.00","267,416.00",3.11,,
Uttar Pradesh,24. Etawah,2003 - 2004,"88,351.00","275,992.00",3.12,,
Uttar Pradesh,24. Etawah,2004 - 2005,"89,322.00","252,425.00",2.83,,
Uttar Pradesh,24. Etawah,2005 - 2006,"88,995.00","271,969.00",3.06,,
Uttar Pradesh,24. Etawah,2006 - 2007,"88,342.00","285,080.00",3.23,,
Uttar Pradesh,24. Etawah,2007 - 2008,"91,660.00","254,906.00",2.78,,
Uttar Pradesh,24. Etawah,2008 - 2009,"93,502.00","325,667.00",3.48,,
Uttar Pradesh,24. Etawah,2009 - 2010,"93,568.00","272,624.00",2.91,,
Uttar Pradesh,24. Etawah,2010 - 2011,"94,864.00","334,111.00",3.52,,
Uttar Pradesh,24. Etawah,2011 - 2012,"94,353.00","363,087.00",3.85,,
Uttar Pradesh,24. Etawah,2012 - 2013,"93,695.00","366,688.00",3.91,,
Uttar Pradesh,24. Etawah,2013 - 2014,"96,592.00","360,658.00",3.73,,
Uttar Pradesh,24. Etawah,2014 - 2015,"96,640.00","164,868.00",1.71,,
Uttar Pradesh,24. Etawah,2015 - 2016,"97,645.00","324,767.00",3.33,,
Uttar Pradesh,24. Etawah,2016 - 2017,"99,202.00","410,696.00",4.14,,
Uttar Pradesh,24. Etawah,2017 - 2018,"96,033.00","360,508.00",3.75,,
Uttar Pradesh,24. Etawah,2018 - 2019,"96,027.00","419,734.00",4.37,,
Uttar Pradesh,24. Etawah,2019 - 2020,"95,396.00","392,364.00",4.11,,
Uttar Pradesh,24. Etawah,2020 - 2021,"95,976.00","395,887.00",4.12,,
Uttar Pradesh,24. Etawah,2021 - 2022,"104,603.00","400,943.00",3.83,,
Uttar Pradesh,24. Etawah,2022 - 2023,"100,105.00","405,625.00",4.05,,
Uttar Pradesh,25. Faizabad,1997 - 1998,"99,193.00","237,786.00",2.4,,
Uttar Pradesh,25. Faizabad,1998 - 1999,"98,090.00","218,734.00",2.23,,
Uttar Pradesh,25. Faizabad,1999 - 2000,"95,938.00","251,946.00",2.63,,
Uttar Pradesh,25. Faizabad,2000 - 2001,"97,812.00","230,591.00",2.36,,
Uttar Pradesh,25. Faizabad,2001 - 2002,"98,729.00","236,163.00",2.39,,
Uttar Pradesh,25. Faizabad,2002 - 2003,"97,663.00","212,781.00",2.18,,
Uttar Pradesh,25. Faizabad,2003 - 2004,"79,203.00","208,895.00",2.64,,
Uttar Pradesh,25. Faizabad,2004 - 2005,"79,102.00","188,020.00",2.38,,
Uttar Pradesh,25. Faizabad,2005 - 2006,"76,155.00","198,841.00",2.61,,
Uttar Pradesh,25. Faizabad,2006 - 2007,"78,887.00","211,812.00",2.69,,
Uttar Pradesh,25. Faizabad,2007 - 2008,"79,242.00","218,549.00",2.76,,
Uttar Pradesh,25. Faizabad,2008 - 2009,"103,796.00","292,601.00",2.82,,
