State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Unnamed: 6,Unnamed: 7
Uttar Pradesh,66. Sant ravidas nagar,2000 - 2001,"47,490.00","115,353.00",2.43,,
Uttar Pradesh,66. Sant ravidas nagar,2001 - 2002,"45,282.00","104,577.00",2.31,,
Uttar Pradesh,66. Sant ravidas nagar,2002 - 2003,"46,202.00","96,504.00",2.09,,
Uttar Pradesh,66. Sant ravidas nagar,2003 - 2004,"46,434.00","101,931.00",2.2,,
Uttar Pradesh,66. Sant ravidas nagar,2004 - 2005,"46,740.00","73,047.00",1.56,,
Uttar Pradesh,66. Sant ravidas nagar,2005 - 2006,"47,416.00","97,772.00",2.06,,
Uttar Pradesh,66. Sant ravidas nagar,2006 - 2007,"37,926.00","92,691.00",2.44,,
Uttar Pradesh,66. Sant ravidas nagar,2007 - 2008,"47,158.00","103,606.00",2.2,,
Uttar Pradesh,66. Sant ravidas nagar,2008 - 2009,"46,622.00","121,539.00",2.61,,
Uttar Pradesh,66. Sant ravidas nagar,2009 - 2010,"48,144.00","107,554.00",2.23,,
Uttar Pradesh,66. Sant ravidas nagar,2010 - 2011,"44,634.00","128,055.00",2.87,,
Uttar Pradesh,66. Sant ravidas nagar,2011 - 2012,"47,418.00","149,041.00",3.14,,
Uttar Pradesh,66. Sant ravidas nagar,2012 - 2013,"48,269.00","137,416.00",2.85,,
Uttar Pradesh,66. Sant ravidas nagar,2013 - 2014,"48,216.00","131,630.00",2.73,,
Uttar Pradesh,66. Sant ravidas nagar,2014 - 2015,"48,033.00","74,114.00",1.54,,
Uttar Pradesh,66. Sant ravidas nagar,2015 - 2016,"48,930.00","108,576.00",2.22,,
Uttar Pradesh,66. Sant ravidas nagar,2016 - 2017,"47,044.00","156,092.00",3.32,,
Uttar Pradesh,66. Sant ravidas nagar,2017 - 2018,"49,038.00","186,639.00",3.81,,
Uttar Pradesh,66. Sant ravidas nagar,2018 - 2019,"49,437.00","185,620.00",3.75,,
Uttar Pradesh,66. Sant ravidas nagar,2019 - 2020,"46,356.00","127,287.00",2.75,,
Uttar Pradesh,66. Sant ravidas nagar,2020 - 2021,"47,585.00","172,591.00",3.63,,
Uttar Pradesh,66. Sant ravidas nagar,2021 - 2022,"49,711.00","176,872.00",3.56,,
Uttar Pradesh,66. Sant ravidas nagar,2022 - 2023,"48,863.00","136,621.00",2.8,,
Uttar Pradesh,67. Shahjahanpur,1997 - 1998,"216,503.00","667,049.00",3.08,,
Uttar Pradesh,67. Shahjahanpur,1998 - 1999,"243,703.00","674,459.00",2.77,,
Uttar Pradesh,67. Shahjahanpur,1999 - 2000,"252,100.00","799,254.00",3.17,,
Uttar Pradesh,67. Shahjahanpur,2000 - 2001,"257,834.00","844,816.00",3.28,,
Uttar Pradesh,67. Shahjahanpur,2001 - 2002,"260,163.00","857,663.00",3.3,,
Uttar Pradesh,67. Shahjahanpur,2002 - 2003,"242,036.00","768,266.00",3.17,,
Uttar Pradesh,67. Shahjahanpur,2003 - 2004,"252,370.00","808,690.00",3.2,,
Uttar Pradesh,67. Shahjahanpur,2004 - 2005,"252,570.00","782,584.00",3.1,,
Uttar Pradesh,67. Shahjahanpur,2005 - 2006,"247,112.00","864,892.00",3.5,,
Uttar Pradesh,67. Shahjahanpur,2006 - 2007,"252,570.00","869,346.00",3.44,,
Uttar Pradesh,67. Shahjahanpur,2007 - 2008,"248,575.00","895,865.00",3.6,,
Uttar Pradesh,67. Shahjahanpur,2008 - 2009,"253,928.00","915,410.00",3.6,,
Uttar Pradesh,67. Shahjahanpur,2009 - 2010,"259,172.00","927,317.00",3.58,,
Uttar Pradesh,67. Shahjahanpur,2010 - 2011,"249,556.00","898,651.00",3.6,,
Uttar Pradesh,67. Shahjahanpur,2011 - 2012,"247,222.00","940,185.00",3.8,,
Uttar Pradesh,67. Shahjahanpur,2012 - 2013,"264,247.00","959,481.00",3.63,,
Uttar Pradesh,67. Shahjahanpur,2013 - 2014,"255,240.00","934,689.00",3.66,,
Uttar Pradesh,67. Shahjahanpur,2014 - 2015,"260,462.00","517,017.00",1.98,,
Uttar Pradesh,67. Shahjahanpur,2015 - 2016,"253,360.00","889,040.00",3.51,,
Uttar Pradesh,67. Shahjahanpur,2016 - 2017,"250,679.00","1,054,356.00",4.21,,
Uttar Pradesh,67. Shahjahanpur,2017 - 2018,"247,700.00","989,809.00",4.0,,
Uttar Pradesh,67. Shahjahanpur,2018 - 2019,"272,458.00","1,216,792.00",4.47,,
Uttar Pradesh,67. Shahjahanpur,2019 - 2020,"256,371.00","1,113,932.00",4.35,,
Uttar Pradesh,67. Shahjahanpur,2020 - 2021,"252,861.00","1,126,749.00",4.46,,
Uttar Pradesh,67. Shahjahanpur,2021 - 2022,"266,855.00","1,192,575.00",4.47,,
Uttar Pradesh,67. Shahjahanpur,2022 - 2023,"231,514.00","1,006,854.00",4.35,,
Uttar Pradesh,68. Shamli,2012 - 2013,"50,033.00","188,124.00",3.76,,
Uttar Pradesh,68. Shamli,2013 - 2014,"46,385.00","173,665.00",3.74,,
Uttar Pradesh,68. Shamli,2014 - 2015,"49,296.00","149,367.00",3.03,,
Uttar Pradesh,68. Shamli,2015 - 2016,"53,363.00","217,241.00",4.07,,
Uttar Pradesh,68. Shamli,2016 - 2017,"49,142.00","208,608.00",4.25,,
Uttar Pradesh,68. Shamli,2017 - 2018,"49,633.00","228,014.00",4.59,,
Uttar Pradesh,68. Shamli,2018 - 2019,"48,655.00","222,451.00",4.57,,
Uttar Pradesh,68. Shamli,2019 - 2020,"48,689.00","231,711.00",4.76,,
Uttar Pradesh,68. Shamli,2020 - 2021,"50,333.00","242,001.00",4.81,,
Uttar Pradesh,68. Shamli,2021 - 2022,"51,942.00","226,155.00",4.35,,
Uttar Pradesh,68. Shamli,2022 - 2023,"55,001.00","268,845.00",4.89,,
Uttar Pradesh,69. Shravasti,1997 - 1998,"80,899.00","159,238.00",1.97,,
Uttar Pradesh,69. Shravasti,1998 - 1999,"81,620.00","172,354.00",2.11,,
Uttar Pradesh,69. Shravasti,1999 - 2000,"90,059.00","215,379.00",2.39,,
Uttar Pradesh,69. Shravasti,2000 - 2001,"93,469.00","211,766.00",2.27,,
Uttar Pradesh,69. Shravasti,2001 - 2002,"60,549.00","151,480.00",2.5,,
Uttar Pradesh,69. Shravasti,2002 - 2003,"59,790.00","127,578.00",2.13,,
Uttar Pradesh,69. Shravasti,2003 - 2004,"59,693.00","162,825.00",2.73,,
