State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),,
,,2005 - 2006,"130,729.00","183,347.00",1.4,,
,,2006 - 2007,"127,107.00","186,396.00",1.47,,
,,2007 - 2008,"110,480.00","147,104.00",1.33,,
,,2008 - 2009,"143,002.00","258,771.00",1.81,,
,,2009 - 2010,"141,321.00","236,833.00",1.68,,
,,2010 - 2011,"145,680.00","264,359.00",1.81,,
,,2011 - 2012,"151,114.00","315,099.00",2.09,,
,,2012 - 2013,"153,753.00","343,012.00",2.23,,
,,2013 - 2014,"164,065.00","311,815.00",1.9,,
,,2014 - 2015,"151,692.00","137,988.00",0.91,,
,,2015 - 2016,"22,873.00","27,447.00",1.2,,
,,2016 - 2017,"197,157.00","462,309.00",2.34,,
,,2017 - 2018,"158,943.00","363,699.00",2.29,,
,,2018 - 2019,"159,768.00","489,299.00",3.06,,
,,2019 - 2020,"161,834.00","461,299.00",2.85,,
,,2020 - 2021,"161,837.00","454,302.00",2.81,,
,,2021 - 2022,"167,353.00","505,406.00",3.02,,
,,2022 - 2023,"193,742.00","635,086.00",3.28,,
,14. Barabanki,1997 - 1998,"127,222.00","295,110.00",2.32,,
,,1998 - 1999,"134,786.00","337,949.00",2.51,,
,,1999 - 2000,"136,351.00","364,669.00",2.67,,
,,2000 - 2001,"132,723.00","373,586.00",2.81,,
,,2001 - 2002,"132,494.00","389,155.00",2.94,,
,,2002 - 2003,"137,328.00","379,036.00",2.76,,
,,2003 - 2004,"160,752.00","486,977.00",3.03,,
,,2004 - 2005,"163,857.00","431,724.00",2.63,,
,,2005 - 2006,"162,040.00","470,888.00",2.91,,
,,2006 - 2007,"165,876.00","490,329.00",2.96,,
,,2007 - 2008,"165,848.00","482,120.00",2.91,,
,,2008 - 2009,"153,165.00","470,829.00",3.07,,
,,2009 - 2010,"159,451.00","490,950.00",3.08,,
,,2010 - 2011,"167,409.00","544,396.00",3.25,,
,,2011 - 2012,"161,038.00","565,243.00",3.51,,
,,2012 - 2013,"162,341.00","603,259.00",3.72,,
,,2013 - 2014,"166,533.00","590,693.00",3.55,,
,,2014 - 2015,"165,449.00","392,114.00",2.37,,
,,2015 - 2016,"167,622.00","498,340.00",2.97,,
,,2016 - 2017,"166,970.00","606,936.00",3.64,,
,,2017 - 2018,"168,346.00","677,088.00",4.02,,
,,2018 - 2019,"162,367.00","641,351.00",3.95,,
,,2019 - 2020,"166,367.00","672,289.00",4.04,,
,,2020 - 2021,"166,827.00","722,528.00",4.33,,
,,2021 - 2022,"173,546.00","701,473.00",4.04,,
,,2022 - 2023,"165,972.00","629,698.00",3.79,,
,15. Bareilly,1997 - 1998,"182,990.00","450,186.00",2.46,,
,,1998 - 1999,"193,339.00","501,838.00",2.6,,
,,1999 - 2000,"187,383.00","520,856.00",2.78,,
,,2000 - 2001,"190,452.00","512,384.00",2.69,,
